label,urls
chair,https://www.youtube.com/watch?v=XQFgGmLgjXc
potted plant,https://www.youtube.com/watch?v=Nu9w_5ZxXUg
keyboard,https://www.youtube.com/watch?v=9F1ZlinK8Ps
cup,https://www.youtube.com/watch?v=6GLGOI8zbxA
laptop,https://www.youtube.com/watch?v=1aqI7EnfbVM
book,https://www.youtube.com/watch?v=NJbXptdalP0
briefcase,https://www.youtube.com/watch?v=0Ydb6-KD4M0
bags ,https://www.youtube.com/watch?v=IvhoXyMUQtQ
car,https://www.youtube.com/watch?v=u8mpyJG8Czc
bicycle,https://www.youtube.com/watch?v=LCZF4aCQsaM
motorcycle,https://www.youtube.com/watch?v=8vKL5Dw4BGQ
bus,https://www.youtube.com/watch?v=REKh-XiVK4s
handbag,https://www.youtube.com/watch?v=3D8AOGg94QY
bed,https://www.youtube.com/watch?v=uK3JACczoK4
mouse,https://www.youtube.com/watch?v=8HCex4usfsk
cell phone,https://www.youtube.com/watch?v=dm81YmIyBGU
toaster,https://www.youtube.com/watch?v=MZbhqdj-urw
refrigerator,https://www.youtube.com/watch?v=hhlf2nkP2-A
clock,https://www.youtube.com/watch?v=iI2D4LbV6Os
vase,https://www.youtube.com/watch?v=U8Wn54dROW8
scissors,https://www.youtube.com/watch?v=oFT2uZdXsIk
toothbrush,https://www.youtube.com/watch?v=EYHVkJPqdTg
couch,https://www.youtube.com/watch?v=CTDqVnd7zXw
cake,https://www.youtube.com/watch?v=bxqoiir6Ej4
pizza,https://www.youtube.com/watch?v=ds8AwgmYjp4
donot,https://www.youtube.com/watch?v=iVjOD7fRRxs
